Response number,Speaker,Content
28,Scott Lang,"Im gonna miss you too, Peachy. [they shake hands] Man, you guys got the weirdest goodbye rituals. [Scott says goodbye to the other inmates] [Scott is escorted out of the prison and is met by his friend Luis]"
29,Luis,"Scotty! Whats up, man! Damn!"
30,Scott Lang,"Hey! Hey, man. [they embrace each other]"
31,Luis,"Hey, whats up with your eye?"
32,Scott Lang,"Oh, well, what do you think. Peachy. His going away present."
33,Luis,"Oh, yeah, I still got my scar from a year ago."
34,Scott Lang,Oh yeah.
35,Luis,"Yeah. Yeah, yeah. You know what? Im still the only one to knock him out."
36,Scott Lang,"Well, I definitely didnt. [they get into Luiss truck and drive off] [as Luis drives him home]"
37,Scott Lang,"Thanks for picking me up, brother."
38,Luis,"Oh, you know, you think Im gonna miss my cellie getting out?"
39,Scott Lang,"Hey, hows your girl, man?"
40,Luis,"Uh, she left me."
41,Scott Lang,Oh.
42,Luis,"Yeah, my mom died too. And my dad got deported. But I got the van!"
43,Scott Lang,Its nice!
44,Luis,"Yeah, right?"
45,Scott Lang,Thanks for the hook-up too. I needed a place to stay.
46,Luis,"You wait ‘til you see this couch, youre gonna be really happy. Youre gonna be on your feet in no time, watch."
47,Scott Lang,I hope so.
48,Luis,"Yeah. And I gotta introduce you to some people, some really skilled people."
49,Scott Lang,Not interested.
50,Luis,Yeah right!
51,Scott Lang,"No, Im serious, man. Im not going back. I got a daughter to take care of."
52,Luis,"You know that jobs dont come easy for ex-cons, right?"
53,Scott Lang,"Look man, I got a masters in electrical engineering, alright? Im gonna be fine. [we see Scott working at Baskin Robbins]"
54,Scott Lang,Welcome to Baskin Robbins. Would you like to try our Mango Fruit Blast?
55,Ice Cream Store Customer,"Uh, no thanks. Um, I will have… Ill have a burger, please."
56,Scott Lang,"Oh, we dont… we dont make that."
57,Ice Cream Store Customer,"Pretzel. Hot pretzel, like, mustard… in mustard dip?"
58,Scott Lang,Its ice cream. Baskin Robbins.
59,Ice Cream Store Customer,Ill just do with whatevers hot and fresh.
60,Scott Lang,"Dude. [Scotts boss, Dale interrupts him serving the idiot customer]"
61,Dale,"Can I see you in the back, chief? Pronto."
62,Scott Lang,"Sure thing, Dale. Darby, could you just, uh… [points to the customer] …take care of this idiot? Thanks. [Scott enters Dales office]"
63,Scott Lang,"Hiya, Dale."
64,Dale,Come on in. Pull up some chair. [Scott sits down]
65,Dale,"Three years in San Quentin, huh?"
66,Scott Lang,You found out.
67,Dale,Baskin Robbins always finds out.
68,Scott Lang,"Look, Im sorry, alright, but I… no one would hire me."
69,Dale,Breaking and entering. Grand larceny.
70,Scott Lang,"Look, Im… Im sorry, I… you know, it was… I dont do it anymore. Im just trying…"
71,Dale,Respect. I couldnt be happier about it.
72,Scott Lang,Really?
73,Dale,"Yeah, yeah."
74,Scott Lang,"Oh, thank you, thank you."
75,Dale,"You really stuck it to those billionaire S.O.Bs. And the more I read about what you did and stuff, Im like, “Wow, I know this guy? Im in charge of this guy?” Yeesh!"
76,Scott Lang,"Well, Im very happy in this job, and Im… I really just appreciate the opportunities and…"
77,Dale,"Yeah, yeah. Well, youre fired of course. I mean, I cant really keep you on."
78,Scott Lang,"Wait, what? Fired?"
79,Dale,Yeah.
80,Scott Lang,"Dale, look, it wasnt a violent crime, I mean, Im a good worker."
81,Dale,"No, it wasnt a violent crime. It was a cool crime. Ill tell you what, though, thisd be totally off the books, off the records, but, uh… if you want to grab one of those Mango Fruit Blasts on your way out the door, Ill just pretend I didnt see it. [after getting fired from Baskin Robbins, Scott returns to the Luiss apartment]"
82,Luis,"Hey, Scotty, whats up? I thought you were supposed to be at work?"
83,Scott Lang,"I was, I got fired."
84,Luis,Damn! They find out who you are?
85,Scott Lang,Yep.
86,Luis,"Baskin Robbins always finds out, bro."
87,Dave,Baskin Robbins dont play.
88,Luis,You want some waffles?
89,Scott Lang,"Yeah, Ill take a waffle."
90,Luis,"Oh. Thats Kurt. He was in Folsom for 5 years, hes a wizard on that laptop."
91,Kurt,Nice to meet you.
92,Scott Lang,"Yeah, nice to meet you too. [to Dave] And who are you?"
93,Dave,Dave. Nice work on the Vista job.
94,Kurt,"Vista job? Yes. No, no, I have heard of this robbery."
95,Scott Lang,"Well, technically, I didnt rob them. Robbery involves threat. I hate violence, I burgled them. Im a cat burglar."
96,Dave,You mean youre a pussy?
97,Scott Lang,Yeah.
98,Luis,"They were overcharging the customers, right? And it added up to millions. He blows the whistle and he gets fired. And what does he do? He hacks into the security system, and transfers millions back to the people that they stole it from."
99,Dave,Posts all the bank records online.
100,Luis,And he drove dudes Bentley into a swimming pool.
101,Scott Lang,What are you doing? Hmm? Why are you telling my lifes story to these guys? What do you want?
102,Luis,"Okay. My cousin talked to this guy two weeks ago about this little, perfect job."
103,Scott Lang,No way.
104,Luis,"No, no, no. Wait! This guy… this guy fits your M.O."
105,Scott Lang,No! Im finished man. Im not going back to jail.
106,Luis,"Its some retired millionaire living off his golden parachute, Its a perfect Scott Lang mark."
107,Scott Lang,I dont care. Im out. [Pym drives up to Pym Technologies]
108,Pym Tech Gate Guard,Dr. Pym?
109,Dr. Hank Pym,"Yes. Im still alive. [the guard smiles and lets Pym drive through the gate, Pym then enters the building]"
110,Pym Tech Security Guard,I.D.
111,Dr. Hank Pym,[referring to the massive painting of Pym in his younger days hanging behind the guard] Perhaps that will suffice.
112,Pym Tech Security Guard,"Im very sorry, sir. Please come in."
113,Pym Tech Employee,Is that Hank Pym?
114,Hope van Dyne,"Good morning, Hank."
115,Dr. Hank Pym,Hope. Would it kill you to call me dad?
116,Hope van Dyne,"Well, Dr. Cross will be so please that you could find the time to join us today."
117,Darren Cross,"More like, thrilled. [Cross walks over to Pym and shakes his hand]"
118,Dr. Hank Pym,"I was surprised to receive any kind of invitation from you, Darren. Whats the occasion?"
119,Darren Cross,"Oh, youll see. Wont he, Hope? [Hope gives Pym a cold look]"
120,Hope van Dyne,Were ready for you inside. [Hope walks away]
121,Darren Cross,"Ouch. [referring to Hope] I guess some old wounds never heal, huh? Dont worry, shes in good hands. Youre in for a treat. [Carson comes over to Pym as they are about to enter the lab]"
122,Carson,"Long time no see, Dr. Pym. Hows retirement? [they shake hands]"
123,Dr. Hank Pym,Hows your face? [Carson enters the lab]
124,Hope van Dyne,After you. [Pym enters the lab]
125,Darren Cross,"Now before we start Id like to introduce a very special guest, this companys founder and my mentor, Dr. Hank Pym. [everyone in the lab claps, at the same time Pym notices the miniature building of Pym Technologies has now got the logo Cross Technologies on it] When I took over this company for Dr. Pym, I immediately started researching a particle that could change the distance between atoms while increasing density and strength. Why this revolutionary idea remained buried beneath the dust and cobwebs of Hanks research, I couldnt tell you. But just imagine. A soldier the size of an insect. The ultimate secret weapon. [he shows everyone footage reel of soldiers getting killed but with a tiny costumed figure also every footage] An “Ant-Man”. [pointing to Pym] Thats what they called you. Right, Hank? Silly, I know. Propaganda. Tales to astonish. Trumped up B.S. to scare the U.S.S.R. Hank, will you tell our guests what you told me every single time I asked you, was the Ant-Man real?"
126,Dr. Hank Pym,Just a tall tale.
127,Darren Cross,"Right. Because how could anything so miraculous possibly be real? [Cross leads everyone into another room] Well I was inspired by the legend of the AntMan. And with my breakthrough, shrinking inorganic material, I thought, could it be possible to shrink a person? Could that be done? Well, its not a legend anymore."
131,Frank,So its a suit.
132,Darren Cross,"Dont be crude, Frank. Its not a suit, its a… its a vessel. Whats a matter, youre not impressed?"
133,Frank,"Oh, Im impressed. Im also concerned. Imagine what our enemies could do with this tech."
134,Darren Cross,"We should have a longer conversation about that, Frank. I really value your opinion. Thank you for coming. Hope?"
135,Hope van Dyne,"Thank you very much, everybody. I will escort you out now. Thank you."
136,Darren Cross,You seem a bit shocked. [as everyone leaves the room Pym walks over to Cross]
137,Dr. Hank Pym,"Darren, theres a reason that I buried these secrets."
138,Darren Cross,"So you finally admit it. We couldve done this together, Hank. But you ruined that. Thats why youre the past and Im the future."
139,Dr. Hank Pym,Dont do this.
140,Mitchell Carson,"Dr. Cross. [Cross goes over to Carson] You sell to me first, twenty percent of your asking price, I can have the cash here in two weeks."
141,Darren Cross,Deal.
142,Hope van Dyne,"[after everyone leaves Cross presentation Hope goes over to Pym] We have to make our move, Hank."
143,Dr. Hank Pym,How close is he?
144,Hope van Dyne,He still cant shrink a live subject. Just give me the suit and let me finish this once and for all.
145,Dr. Hank Pym,No.
146,Hope van Dyne,I have Cross complete trust.
147,Dr. Hank Pym,Its too dangerous.
148,Hope van Dyne,We dont have a choice.
149,Dr. Hank Pym,"Well, thats not entirely true."
150,Hope van Dyne,I think I found a guy.
151,Dr. Hank Pym,Who? [Scott shows up at his daughters birthday party]
152,Cassie Lang,"Daddy! [she rushes towards Scott, he catches Cassie in his arms and embraces her]"
153,Scott Lang,"Peanut! Oh! Happy birthday! Im so sorry Im late, I didnt know what time your party started."
154,Cassie Lang,It was on the invitation! [Scotts ex-wifes fiancé Paxton interrupts them]
155,Paxton,He didnt get an invitation! But he came anyway.
156,Scott Lang,"Well, Im not going to miss my little girls birthday party."
157,Cassie Lang,Im gonna go tell mommy youre here.
158,Scott Lang,"Oh, you dont… [Cassie turns and runs off]"
159,Paxton,"What are you doing here, Lang? You havent paid a dime in child support. You know, right now if I wanted to, I could arrest you."
160,Scott Lang,"Its good to see you too, Paxton. [Cassie comes back]"
161,Cassie Lang,"Mommys so happy youre here, she choked on her drink."
162,Scott Lang,"Hey, look what I have for you. [he hands her the small bag hed brought]"
163,Cassie Lang,Can I open it now?
164,Paxton,"Of course sweetheart, its your birthday. [she takes out an ugly looking rabbit which talks]"
165,Hideous Rabbit,Youre my bestest friend!
166,Paxton,[referring to the toy rabbit] What is that thing?
167,Cassie Lang,Hes so ugly! I love him! Can I go show my friends?
168,Paxton,"Yeah, of course sweetheart, go ahead. [Cassie runs off with the ugly rabbit to show her friends]"
169,Hideous Rabbit,Youre my bestest friend!
170,Scott Lang,"Look, the child support is coming. Alright? Its just hard finding a job when you have a record."
171,Paxton,"Im sure youll figure it out, but for now I want you out of my house."
172,Scott Lang,"No, wait, its my daughters birthday!"
173,Paxton,Its my house!
174,Scott Lang,"So what, its my kid! [Maggie walks over to them]"
175,Maggie Lang,"Scott! You cant just show up here, you know that. Come on."
176,Scott Lang,Its her birthday party.
177,Maggie Lang,"Yeah, I know, but you cant just show up."
178,Scott Lang,Shes my daughter.
179,Paxton,You dont know the first thing about being a father.
180,Scott Lang,"Maggie, I tell you this as a friend, and as the first love of my life, your fiancé is an ass-hat."
181,Maggie Lang,Hes not an ass-hat.
182,Paxton,"Hey, watch your language. Okay?"
183,Scott Lang,"Oh, what language. I said hat. [Maggie takes Scott out of the house]"
184,Scott Lang,"Really, Maggie? That guy? Come on, you could marry anyone you want, you have to get engaged to a cop?"
185,Maggie Lang,At least hes not a crook.
186,Scott Lang,"Im trying, okay? Ive changed, and Im straight, I had a job, and… I want to provide. I had a lot of time to think about it, and I love her. So much. Ive missed so much time and I want to be a part of her life. What do I do?"
187,Maggie Lang,"Get an apartment. Get a job, pay child support. And then we will talk about visitation, I promise. Youre her hero, Scott. Just, be the person that she already thinks you are. [Scott gets into Luiss van, Cassie waves goodbye to him as he drives off honking the musical horn] [Frank is in the bathroom taking a leak]"
188,Darren Cross,"Im sorry you have such deep concerns about the Yellowjacket, Frank. [Frank turns back in surprise to find Cross standing there watching him]"
189,Frank,"Yeah, well, uh, unfortunately we cant just do whatever we want. Would be nice though, right? [he chuckles as he washes his hands]"
190,Frank,But there are laws.
191,Darren Cross,"What laws? Of man? The laws of nature transcend the laws of man, and Ive transcended the laws of nature."
192,Frank,"Darren, I dont think you understand… [suddenly Cross uses a small device on Frank which vaporizes him into a blob of goo]"
193,Darren Cross,Hm. We still havent worked out all the bugs. [Cross uses a tissue to wipe the goo off the sink and dumps it into one of the toilets]
194,Darren Cross,"Goodbye, Frank. [he flushes the toilet and washes his hands] [Cross and Hope are having dinner at a restaurant]"
195,Darren Cross,"You know Ive been thinking a lot about gratitude lately, and today during my morning meditation, an interesting thought occurred to me and I think it might apply to you too."
196,Hope van Dyne,Hows that?
197,Darren Cross,"Gratitude can be forgiveness. I spent years carrying around my anger for Hank Pym. I devoted my genius to him. I couldve worked anywhere. I chose my mentor poorly. You didnt even have a choice. He never believed in you. Its a shame what we had to do, but he forced us to do it, didnt he? But we shouldnt be angry, we should be grateful. Because his failures as a mentor, as a father, forced us to spread our wings."
198,Hope van Dyne,"Youre a success, Darren. You deserve everything coming your way. [after sitting outside in the van trying to figure how many days hes got left to see Cassie again, Scott returns to Luiss apartment]"
199,Luis,"Hey, whats up, hotshot? [Scott doesnt reply]"
200,Dave,Maybe he didnt hear you.
201,Luis,"How was the party? [Scott goes to the fridge, takes out a beer bottle and takes a swig from it]"
202,Scott Lang,Tell me about that tip.
203,Luis,What?
204,Scott Lang,I want to know about that tip.
205,Luis,"Ooh, baby, its on!"
206,Dave,Hot dog!
207,Luis,Its so on right now!
208,Dave,Look who grew a pair!
209,Scott Lang,"Calm down, alright? I just need to know where it came from, its gotta be airtight."
210,Luis,"Okay. I was at a wine tasting with my cousin Ernesto, which was mainly reds, and you know I dont love reds man, you know? But there was a rosé that saved the day, it was delightful. And he tells me about this girl Emily that we used to kick it with, it was actually the first pair of boobs that I ever touched."
211,Scott Lang,Its the wrong details. Its wrong… It has nothing to do with the story. Go!
212,Luis,"So, uh, he tells me that shes working as a housekeeper now, right? And shes dating this dude Carlos whos a shot caller from across the bay and she tells him about the dude that shes cleaning for. Right? That hes, like, this big-shot CEO that is all retired now but hes loaded. And so, Carlos and Ernesto are on the same softball team"
216,Scott Lang,What?
217,Kurt,Old man have safe.
218,Luis,And hes gone for a week.
219,Scott Lang,"Alright. Theres an old man, hes got a safe, and hes gone for a week. Lets just work with that."
220,Luis,Yknow what Im sayin? [we see the group getting prepared and gathering the right gear for the robbery]
221,Kurt,"Landlines cut, cell signals jammed. No one will be making for distress call tonight."
222,Luis,All check.
223,Kurt,Check.
224,Dave,Check.
225,Luis,"If the job goes bad, you know I got your back, right?"
226,Scott Lang,"Dont worry, its not gonna happen. [Scott leaves the van]"
227,Luis,I love it when he gets cocky. [as they guys stay in the van they watch Scott hop the fence into the house]
228,Dave,Damn! [through his earpiece] Alarm is dead.
229,Luis,Nice!
230,Scott Lang,"Alright, Im moving through the house. [inside the house Scott finds a door with a thumbprint scanner]"
231,Scott Lang,Theres a fingerprint lock on the door.
232,Luis,"Its got a what? Ernesto didnt tell me nothin about that. Aw, man, are we screwed?"
233,Scott Lang,Not necessarily. [Scott quickly uses several household items to get a fingerprint from a door knob and uses that to successfully pass the thumbprint scanner]
234,Scott Lang,Im in.
235,Kurt,No alarms have been triggered. Hes in like the Flynn. [Scott opens the door and immediately sees the safe made of strong metal]
236,Scott Lang,"Oh, man."
237,Luis,What is it?
238,Scott Lang,"Well they werent kidding, this safe is serious."
239,Luis,"How serious we talkin, Scotty?"
240,Scott Lang,"Its a Carbondale. Its from 1910, made from the same steel as the Titanic."
241,Luis,Wow. Can you crack it?
242,Scott Lang,"Well, heres the thing. It doesnt do so well in the cold. Remember what that iceberg did?"
243,Luis,"Yeah, man, it killed DiCaprio."
244,Dave,It killed everybody.
245,Kurt,But not the old lady. She still threw the jewel into the oceans. [Scott gets to work to try and open the safe]
246,Luis,What are you doing?
247,Scott Lang,"I poured water in the locking mechanism and froze it with nitrogen. Ice expands, metal doesnt."
248,Luis,What are you doing now?
249,Scott Lang,Waiting. Waiting. [the safe door breaks open]
250,Scott,Nice. [Scott looks inside the safe]
251,Luis,"What is it, cash? Jewels?"
252,Scott Lang,Well theres nothing here.
253,Luis,Whatd you say? [Scott notices some blueprints and the original Ant-Man suit]
254,Scott Lang,Its a suit.
255,Luis,What?
256,Scott Lang,Its an old motorcycle suit.
257,Luis,"Theres no cash, no jewelry, nothing?"
258,Scott Lang,No. Its a bust.
259,Luis,"Im really sorry, Scotty. I know you needed a score. [we see an ant with a camera on its back nearby recording Scott take the suit, inside his lab Hank is watching Scott] [back at Pym Technologies Cross is about to perform the shrinking experiments with a lamb]"
260,Hope van Dyne,I thought we were using mice?
261,Darren Cross,"Whats the difference? Commence experiment 34C, organic atomic reduction."
262,Hope van Dyne,"Darren, maybe we should think…"
263,Darren Cross,Shrinking organic tissue is the centerpiece of this technology. I cant go to the buyers with half a breakthrough. [Cross initiates the experiment and the lamb is vaporized to goo to Hopes shock]
264,Darren Cross,"Experiment 34C results workstation, bring in subject 35C. [back at Luiss apartment in the bathroom, Scott looks at the suit he took from the safe]"
265,Scott Lang,Why would you lock this up? [he takes out the suit and looks at the helmet]
266,Scott Lang,So weird. [he tries the suit on and steps into the bathtub to get a better look at himself in the mirror]
267,Luis,"Scott, whats up man? [Scott closes the shower curtain then looks at the buttons on the gloves]"
268,Scott Lang,"I wonder… what is this? [he presses the buttons and shrinks down to a tiny size] [in his tiny form Scott stand and looks around him in shock, Scott then hears Hanks voice speaking through the mask]"
269,Dr. Hank Pym,"The world sure seems different from down here, doesnt it, Scott?"
270,Scott Lang,What? Who… who said that? [Scott sees Luis open the shower curtains to take a shower]
271,Scott Lang,"Luis! Luis, down here!"
272,Dr. Hank Pym,"Its a trial by fire, Scott. Or in this case, water. [Luis turns on the water, after getting splashed around Scott falls out of the bathtub and onto the floor]"
273,Dr. Hank Pym,Guess youre tougher than you thought. [Scott hears Luis about to get undressed]
274,Scott Lang,"Oh, I dont want to see this. [as Luis drops his trousers onto the floor it knocks Scott through a hole in the apartment below]"
275,Scott Lang,"Luis! Ahh! Son of a… ! [Scott falls into an apartment where a party is going on, he narrowly avoids getting stepped on before falling through the vent into another apartment gets sucked into a hoover, breaks out, encounters a mouse, then runs into a trap and is launched out the window where he returns to his normal size on top of a cab]"
276,Cab Driver,What the hell?
277,Dr. Hank Pym,"Not bad for a test drive. Keep the suit, Ill be in touch."
278,Scott Lang,"No, no. No, thank you. [Scott packs the suit up and sneaks it back into house and returns it into the safe, but the police are waiting for him as he goes to leave]"
279,Cop on Speaker,Put it down on the ground! You are under arrest!
280,Scott Lang,"No, I didnt steal anything! I was returning something I stole. [Scott realizes hes admitted to stealing and reluctantly kneels on the ground as hes arrested] [Paxton visits Scott as hes sat in his cell]"
281,Paxton,"You know, you almost had us convinced that you were going to change your ways. They were really rooting for you. Its gonna break their hearts."
282,Detective,You got a visitor.
283,Scott Lang,Who?
284,Detective,Your lawyer.
285,Scott Lang,My lawyer? [Scott is taken to a room where Pym is sat waiting for him]
286,Dr. Hank Pym,"I told you Id be in touch, Scott. Im starting to think that you prefer the inside of a jail cell."
287,Scott Lang,"Oh, man."
288,Dr. Hank Pym,Sit down. [we see ants crawling over the camera in the room to obscure the conversation]
289,Scott Lang,"Sir, Im sorry I stole the suit. I dont even want to know why you have it."
290,Dr. Hank Pym,Maggie was right about you.
291,Scott Lang,How do you know about… ?
292,Dr. Hank Pym,"The way shes trying to keep you away from Cassie. The moment things get hard, you turn right back to crime. The way I see it, you have a choice. You can either spend the rest of your life in prison or go back to your cell and await further instructions."
293,Scott Lang,I dont understand.
294,Dr. Hank Pym,"No, I dont expect you to. But you dont have many options right now. Quite frankly, neither do I. Why do you think I let you steal that suit in the first place?"
295,Scott Lang,"What? [flashback to Pym giving money to his housekeeper, Emily, so that she can tip Luiss friends to tip off about the job]"
296,Dr. Hank Pym,Second chances dont come around all that much. So next time you think you might see one I suggest you take a real close look at it. [Pym rises and leaves the room]
297,Maggie Lang,[referring to the ugly rabbit toy Scott gave her as Maggie is putting Cassie to sleep] Are you sure you dont want a different toy?
298,Maggie Lang,Are you sure you dont want a different toy?
299,Cassie Lang,"No, I love this one."
300,Maggie Lang,"Okay. Well, get some sleep then. I love you. [Maggie kisses Cassie on her head]"
301,Cassie Lang,Mommy?
302,Maggie Lang,Hm?
303,Cassie Lang,Is daddy a bad man? I heard some grownups say hes bad.
304,Maggie Lang,"No. Daddy just gets confused sometimes, you know? [as Scott is sat in his cell thinking several ants bring Scott the suit in its tiny form then enlarge it so that Scott can wear it, he quickly slip into it, zaps himself small to escape]"
305,Dr. Hank Pym,Smart choice. You actually listened for once. [Scott runs out of the cell]
306,Dr. Hank Pym,Under the door. [as the prison alarm goes off Scott runs out of the building]
307,Scott Lang,Okay. Where to now?
308,Dr. Hank Pym,Hang tight. [some ants approach Scott]
309,Scott Lang,What? What?! [inside the police station]
310,Paxton,Where the hell did he go?
311,Detective,"I have no idea, he just vanished. [into his radio] Set up a five block perimeter, now! [back to Scott; to the ants]"
312,Scott Lang,"Get back, get back, get back!"
313,Dr. Hank Pym,"Scott, these are my associates."
314,Scott Lang,"Huh? You got a camera on an ant? Yeah, sure, why not? Wheres the car?"
315,Dr. Hank Pym,"No car, weve got wings. Incoming! [a large winged ant flies over Scott and lands in front of him]"
316,Dr. Hank Pym,Put your foot on the central node and not the thorax.
317,Scott Lang,Are you ki… ? How safes this… ?
318,Dr. Hank Pym,"Get on the damn ant, Scott! [Scott gets on the ant and as it flies off the police go on a manhunt for him] [the winged ant has landed on a police car thats looking for Scott]"
319,Scott Lang,Why am I on a police car? Shouldnt I not be on a police car?
320,Dr. Hank Pym,So they can give you a lift past their five block perimeter.
321,Scott Lang,"Whoa. Alright. Now, whats the next move?"
322,Dr. Hank Pym,Hang on tight.
323,Scott Lang,"Oh, this is easy. Im getting the hang of this. Yank up to go up. Its like a horse."
324,Dr. Hank Pym,Youre throwing 2-47 off balance.
325,Scott Lang,"Wait, his name is 2-47?"
326,Dr. Hank Pym,"He doesnt have a name, he has a number Scott. Do you have any idea how many ants there are? [as the police car swerves]"
327,Scott Lang,Whoa!
328,Dr. Hank Pym,Maybe its 2-48. [as the ant flies up]
329,Scott Lang,"No, no, no, no! Vertigo, vertigo!"
330,Dr. Hank Pym,"No, I think its 2-47."
331,Scott Lang,Wait.
332,Dr. Hank Pym,Hang on.
333,Scott Lang,I think Im getting the hang of this. [as ant flies Scott around the city]
334,Dr. Hank Pym,Im controlling 2-47. He is not listening to you.
335,Scott Lang,What? Can I make one little request?
336,Dr. Hank Pym,No.
337,Scott Lang,"Stop 2-47. Time out, time out. Time out. Alright, hold on. Just, wait. Whoa, uh! What happens if I throw up in this helmet?"
338,Dr. Hank Pym,"Its my helmet, Scott. Do not throw up."
339,Scott Lang,"Just set her down, alright? Im getting light headed."
340,Dr. Hank Pym,"Hang on, Scott."
341,Scott Lang,"Yeah, Im getting a little light… its funny… hit me, and… [as the ant continues to fly Scott feels dizzy and falls off the ants back] [Scott wakes up in a bedroom and jumps up in shock when he sees Hope watching over him]"
342,Scott Lang,Hello. Who are you? Have you been standing there watching me sleep this whole time?
343,Hope van Dyne,Yes.
344,Scott Lang,Why?
345,Hope van Dyne,Because the last time you were here you stole something.
346,Scott Lang,"Oh. Oh! Hey, look. [Scott goes to get out of bed but recoils when he sees insects crawling all over the floor]"
347,Scott Lang,Whoa!
348,Hope van Dyne,Paraponera clavata. Giant tropical bullet ants. Ranked highest on the Schmidt pain index. Theyre here to keep an eye on you when I cant. Dr. Pyms waiting for you downstairs. [she turns and walks out of the room]
349,Scott Lang,"Who? [calling out to Hope] Hey, um, whose pajamas are these? [gets no response] How am I supposed to do this? [Scott puts his foot down tentatively onto the floor and the ants make space for his foot]"
350,Scott Lang,"Right, just one step at a time. [he slowly stops towards the door as the ants make room for his feet]"
351,Scott Lang,"Ugh. You dont bite me, I dont step on you, deal? [in the dining hall]"
352,Hope van Dyne,Take down the servers and Cross wouldnt even know it. We dont need this guy. [Scott enters the dining room where Pym and Hope are sat]
353,Dr. Hank Pym,I assume that youve already met my daughter Hope.
354,Scott Lang,I did. Shes great.
355,Dr. Hank Pym,She doesnt think that we need you.
356,Hope van Dyne,We dont. We can do this ourselves.
357,Dr. Hank Pym,"I go to all this effort to let you steal my suit, and then Hope has you arrested."
358,Hope van Dyne,"Okay, we can try this and when he fails Ill do it myself."
359,Dr. Hank Pym,"Shes a little bit anxious. It has to do with this job, which, judging by the fact that youre sitting opposite me, I take it that youre interested in."
360,Scott Lang,What job?
361,Dr. Hank Pym,Would you like some tea?
362,Scott Lang,"Uh, sure. [Pym pours Scott some tea]"
363,Dr. Hank Pym,I was very impressed with how you managed to get past my security system. Freezing that metal was particularly clever.
364,Scott Lang,Were you watching me?
365,Dr. Hank Pym,"Scott, Ive been watching you for a while, ever since you robbed Vista Corp. Oh, excuse me, burgled Vista Corp. [Scott see Hope smile to herself] Vistas security system is one of the most advanced in the business. Its supposed to be unbeatable but you beat it. Would you like some sugar?"
366,Scott Lang,"Yeah, thanks. [he sees two ants pushing two sugar cubes on the table towards his cup] You know what, Im okay. [referring to the ants] How do you make them do that?"
367,Dr. Hank Pym,"Ants can lift objects fifty times their weight. They build, farm, they cooperate with each other."
368,Scott Lang,Right. But how do you make them do that? [he sees the ants returning the sugar cubes into their bowl]
369,Dr. Hank Pym,"I use electromagnetic waves to stimulate their olfactory nerve center. I speak to them. I can go anywhere, hear anything, and see everything."
370,Hope van Dyne,And still know absolutely nothing. Im late to meet Cross. [Hope gets up and leaves] [Scott raises his hand to ask a question]
371,Scott Lang,Uh… Dr. Pym?
372,Dr. Hank Pym,"You dont need to raise your hand, Scott."
373,Scott Lang,"Sorry, I just have one question. Who are you? Who is she? What the hells going on and can I go back to jail now?"
374,Dr. Hank Pym,Come with me. [Pym takes Scott to his lab] Twenty years ago I created a formula that altered atomic relative distance.
375,Scott Lang,Huh?
376,Dr. Hank Pym,"I learned how to change the distance between atoms, thats what powers the suit, thats why it works. [they enter Pyms lab]"
377,Scott Lang,Whoa.
378,Dr. Hank Pym,But it was dangerous. It was too dangerous. So I hid it from the world. And thats when I switched gears and I started my own company.
379,Scott Lang,Pym Tech.
